BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,SEGMENT,BALANCE_GROUP,BALANCE_FREQ_GROUP,PURCHASES_GROUP,ONEOFF_PURCHASES_GROUP,INSTALLMENTS_PURCHASES_GROUP,CASH_ADVANCE_GROUP,PURCHASES_FREQ_GROUP,ONEOFF_PURCHASES_FREQ_GROUP,PURCHASES_INSTALLMENTS_FREQ_GROUP,CASH_ADVANCE_FREQ_GROUP,CASH_ADVANCE_TRX_GROUP,PURCHASES_TRX_GROUP,CREDIT_LIMIT_GROUP,PAYMENTS_GROUP,MIN_PAYMENTS_GROUP,PRC_FULL_PAYMENT_GROUP
40.9,0.82,95.4,0.0,95.4,0.0,0.17,0.0,0.08,0.0,0,2,1000.0,201.8,139.51,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
3202.47,0.91,0.0,0.0,0.0,6442.95,0.0,0.0,0.0,0.25,4,0,7000.0,4103.03,1072.34,0.22,12,1,2001-4000,0.81-1,0-2000,0-2000,0-2000,6001-8000,0-0.2,0-0.2,0-0.2,0.21-0.4,0-5,0-15,6001-8000,4001-6000,0-2000,0.21-0.4
2495.15,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.07,627.28,0.0,12,1,2001-4000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0.81-1,0-0.2,0-0.2,0-5,0-15,6001-8000,0-2000,0-2000,0-0.2
1666.67,0.64,1499.0,1499.0,0.0,205.79,0.08,0.08,0.0,0.08,1,1,7500.0,0.0,0.0,0.0,12,1,0-2000,0.61-0.8,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,6001-8000,0-2000,0-2000,0-0.2
817.71,1.0,16.0,16.0,0.0,0.0,0.08,0.08,0.0,0.0,0,1,1200.0,678.33,244.79,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
1809.83,1.0,1333.28,0.0,1333.28,0.0,0.67,0.0,0.58,0.0,0,8,1800.0,1400.06,2407.25,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.61-0.8,0-0.2,0.41-0.6,0-0.2,0-5,0-15,0-2000,0-2000,2001-4000,0-0.2
627.26,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.31,198.07,1.0,12,2,0-2000,0.81-1,6001-8000,6001-8000,0-2000,0-2000,0.81-1,0.81-1,0.81-1,0-0.2,0-5,61-75,12001-14000,6001-8000,0-2000,0.81-1
1823.65,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.07,532.03,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,0-15,2001-4000,0-2000,0-2000,0-0.2
1014.93,1.0,861.49,661.49,200.0,0.0,0.33,0.08,0.25,0.0,0,5,7000.0,688.28,311.96,0.0,12,1,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0-0.2,0.21-0.4,0-0.2,0-5,0-15,6001-8000,0-2000,0-2000,0-0.2
152.23,0.55,1281.6,1281.6,0.0,0.0,0.17,0.17,0.0,0.0,0,3,11000.0,1164.77,100.3,0.0,12,1,0-2000,0.41-0.6,0-2000,0-2000,0-2000,0-2000,0-0.2,0-0.2,0-0.2,0-0.2,0-5,0-15,10001-12000,0-2000,0-2000,0-0.2
1293.12,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.3,2172.7,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.81-1,0-0.2,0.81-1,0-0.2,0-5,0-15,0-2000,0-2000,2001-4000,0-0.2
630.79,0.82,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.62,155.55,0.0,12,0,0-2000,0.81-1,0-2000,0-2000,0-2000,0-2000,0.21-0.4,0.21-0.4,0-0.2,0-0.2,0-5,0-15,0-2000,0-2000,0-2000,0-0.2
1516.93,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.92,0.0,0,26,3000.0,608.26,490.21,0.25,12,0,0-2000,0.81-1,2001-4000,2001-4000,0-2000,0-2000,0.81-1,0.21-0.4,0.81-1,0-0.2,0-5,16-30,2001-4000,0-2000,0-2000,0.21-0.4
